Agency,Recipient,Description,Date,SAVED
USAID,FAMILY HEALTH INTERNATIONAL,USAID SUSTAINING EPIDEMIC CONTROL THROUGH UNIFIED PREVENTION (SECURE) ...,3/10/2025,29957379.0
USAID,RTI INTERNATIONAL,"THE IPE ACTIVITY WILL INCREASE ACCESS TO SAFE, QUALITY BASIC EDUCATION...",3/1/2025,29723243.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,California Dept of Public Health,No description available,3/23/2025,29496605.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,29432563.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NYS Office of Mental Health,No description available,3/23/2025,29353412.0
USAID,"PACT, INC.","THE GOAL OF THE ACTIVITY IS TO IMPROVE THE ENABLING ENVIRONMENT, ACCES...",2/11/2025,29197378.0
DEPARTMENT OF STATE,"INTERNATIONAL RESCUE COMMITTEE, INC.",No description available,2/26/2025,29015866.0
USAID,THE UNION ZIMBABWE TRUST,HEALTH PROGRAM- TB PREVENTION AND RESPONSE,3/1/2025,29000000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF NORTH CAROLINA DEPARTMENT OF HEALTH & HUMAN SE,No description available,3/23/2025,28968714.0
DEPARTMENT OF EDUCATION,"WESTAT, INC.",NATIONAL COMPREHENSIVE CENTER APPLICATION,2/18/2025,28913738.09
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, MARYLAND DEPARTMENT OF",No description available,3/23/2025,28768099.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STANFORD UNIVERSITY,No description available,3/23/2025,28731213.0
USAID,FRIENDS IN VILLAGE DEVELOPMENT BANGLADESH,USAID HOST AND IMPACTED COMMUNITY RESILIENCE ACTIVITY - DEVELOPMENT IN...,3/10/2025,28523178.0
USAID,TROPICAL DISEASE FOUNDATION INC.,TUBERCULOSIS-FREE VISAYAS AND MINDANAO,3/1/2025,28519426.0
USAID,DAI GLOBAL LLC,USAID / SOMALIA PEOPLE CENTERED GOVERNANCE (PCG) ACTIVITY,3/1/2025,28027317.0
USAID,SAVE THE CHILDREN INTERNATIONAL,TO SUPPORT LEARNERS IN ETHNIC-BASED EDUCATION SYSTEMS IN BURMA TO HAVE...,3/1/2025,28000000.0
USAID,"PHILIPPINE TUBERCULOSIS SOCIETY, INC.",ACTIONS TO SUPPORT WIDE-SCALE INTERVENTIONS TO FIGHT TB IN THE PHILIPP...,3/10/2025,27999896.0
USAID,THE TASK FORCE FOR GLOBAL HEALTH INC,"UNDER THIS FIVE-YEAR COOPERATIVE AGREEMENT, USAID INTENDS TO TRANSFER ...",3/1/2025,27983856.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,27946020.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,27846355.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,URBAN HEALTH ACTIVITY,3/1/2025,27820000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, PENNSYLVANIA DEPARTMENT OF",No description available,3/23/2025,27633000.0
USAID,CENTER FOR COLLABORATION IN HEALTH,TO IMPROVE TUBERCULOSIS (TB) EPIDEMIC RESPONSE IN MOZAMBIQUE’S HIGH BU...,3/10/2025,27599997.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,No description available,3/23/2025,27524026.0
USAID,"UNIVERSITY OF CALIFORNIA, DAVIS",ONE HEALTH WORKFORCE - NEXT GENERATION (OHW-NG),3/1/2025,27398659.0
USAID,AMERICAN CENTER FOR INTL LABOR,THE GOAL OF THE GLOBAL LABOR PROGRAM – NEW FRONTIERS IN ADVANCING LABO...,2/10/2025,27300000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, NORTH DAKOTA DEPARTMENT OF",No description available,3/23/2025,26971461.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARKANSAS DEPARTMENT OF HEALTH,No description available,3/23/2025,26852250.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME (UNDP),No description available,3/1/2025,26562000.0
USAID,MERCY CORPS,LEVERAGING INVESTMENT FOR TRANSFORMATIONAL (LIFT) WATER AND SANITATION...,3/10/2025,26466982.0
USAID,THE UNION ZIMBABWE TRUST,HEALTH TB PREVENTION AND RESPONSE ACTIVITY,3/1/2025,26442620.0
USAID,ACTION AGAINST HUNGER - USA,"PROPEL ADAPT SEEKS TO ADDRESS POLICY, ADVOCACY, FINANCING, AND GOVERNA...",3/1/2025,26400000.0
DEPARTMENT OF AGRICULTURE,Illinois State Board of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,26309880.89
USAID,POPULATION SERVICES INTERNATIONAL,USAID/ETHIOPIA MARKETS FOR SANITATION ACTIVITY.,3/1/2025,26238862.0
USAID,"EDUCATION DEVELOPMENT CENTER, INC.",IMPROVE THE QUALITY AND RELEVANCE OF TEACHER PREPARATION IN EGYPTIAN P...,3/1/2025,26214213.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NJ ST DEPARTMENT OF HUMAN SERVICES,No description available,3/23/2025,26128676.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,THE GOAL OF THIS PROGRAM IS ELECTIONS AND POLITICAL PROCESSES THAT BET...,2/11/2025,26100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Duke University,No description available,3/23/2025,26084566.0
USAID,JHPIEGO CORP,THE COOPERATIVE AGREEMENT AIMS TO IMPROVE FAMILY PLANNING AND ADOLESCE...,3/1/2025,26000000.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,No description available,3/1/2025,25777203.0
USAID,FOOD AND AGRICULTURE ORGANIZATION OF THE UNITED NATIONS,STRENGTHENING RURAL LIVELIHOODS AND FOOD SECURITY ACTIVITY,3/1/2025,25707521.0
USAID,CENTER FOR CLINICAL CARE AND CLINICAL RESEARCH LTD GTE,USAID TRANSFORMING HEALTH AND RESILIENCE FOR INDIVIDUALS THROUGH VIBRA...,3/10/2025,25519664.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SD ST DEPARTMENT OF HEALTH,No description available,3/23/2025,25486440.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MICHIGAN DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,25455189.0
DEPARTMENT OF STATE,WORLD RELIEF CORP OF NATIONAL ASS,No description available,2/26/2025,25421109.58
USAID,"CHEMONICS INTERNATIONAL, INC.",USAID SAHEL REGIONAL RESILIENCE ACTIVITY - LEADER WITH ASSOCIATES (LWA...,3/1/2025,25398928.0
USAID,CARE USA,USAID RANO MAHARITRA,3/10/2025,25385230.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OH ST DEPARTMENT OF MENTAL HEALTH,No description available,3/23/2025,25348625.0
USAID,"COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE, INC.","THROUGH THIS BANGLADESH INTEGRATED YOUTH ACTIVITY, USAID/BANGLADESH AI...",3/1/2025,25345000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,25280166.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PA ST Department of Drug and Alcohol Programs,No description available,3/23/2025,25209330.0
USAID,PARTNERSGLOBAL,PXP IS A GRANT TO PROVIDE DIRECT AND ACCESSIBLE SUPPORT THAT ADDRESSES...,2/10/2025,24986000.0
DEPARTMENT OF EDUCATION,"WESTAT, INC.",REGION 9 (SOUTHWEST): NM – TX – OK – AR – LA COMPREHENSIVE CENTER APPL...,2/18/2025,24983549.54
USAID,PROJECT HOPE - THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION INC,THE OVERALL OBJECTIVE OF USAID EMPOWERED COMMUNITIES ACTIVITY IS TO AC...,3/10/2025,24878075.0
USAID,"CHEMONICS INTERNATIONAL, INC.",USAID'S HIGHER SECONDARY EDUCATION ACTIVITY,3/1/2025,24840397.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NY ST DEPT OF HEALTH,No description available,3/23/2025,24538713.0
USAID,POPULATION SERVICES INTERNATIONAL,VOLUNTARY MEDICAL MALE CIRCUMCISION (VMMC); COMPREHENSIVE CONDOM PROGR...,3/1/2025,24245050.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND ENVIRONMENT, COLORADO DEPARTMENT OF",No description available,3/23/2025,24201628.0
DEPARTMENT OF AGRICULTURE,New York Food for New York Families,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,24033651.0
USAID,THE TIBET FUND,"STRENGTHENING ECONOMIC, SOCIAL AND CULTURAL RESILIENCE OF TIBETAN COMM...",3/1/2025,24022000.0
USAID,DIVISION OF SPONSORED RESEARCH,No description available,3/1/2025,23920626.0
USAID,FAMILY HEALTH INTERNATIONAL,EQHA II IS A NEW FIVE-YEAR AWARD AIMS TO IMPROVE AND SUSTAIN SERVICE Q...,3/10/2025,23897608.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,WI ST DEPARTMENT OF HEALTH & SOCIAL SERVICES,No description available,3/23/2025,23819776.0
USAID,"PLAN INTERNATIONAL USA, INC.",THE HAWASSA COMMUNITY AND WORKER WELLNESS (HCWW) ALLIANCE IS COMPOSED ...,3/1/2025,23800000.0
USAID,UNIVERSITY OF ILLINOIS,THE PURPOSE OF THE NEW SOYBEAN VALUE CHAIN RESEARCH (SVCR) INNOVATION ...,3/1/2025,23700000.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,THE PURPOSE OF THE USAID/ETHIOPIA QUALITY HEALTHCARE ACTIVITY IS TO BU...,3/10/2025,23634859.0
DEPARTMENT OF AGRICULTURE,Georgia Department of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,23555563.83
DEPARTMENT OF HEALTH AND HUMAN SERVICES,HAWAII DEPARTMENT OF HEALTH,No description available,3/23/2025,23489865.0
DEPARTMENT OF STATE,US COMMITTEE FOR REFUGEES & IMMIGRANTS INC,No description available,2/26/2025,23127674.0
USAID,ACMS,"THE OBJECTIVE OF THIS PROGRAM IS TO SUPPORT A RECIPIENT, A CAMEROONIAN...",3/10/2025,22961730.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NC ST DEPT OF HUMAN RESOURCES, DIV OF MH/MR & SUBSTANCE",No description available,3/23/2025,22788207.0
DEPARTMENT OF EDUCATION,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,COMPREHENSIVE CENTERS PROGRAM: REGION 7 (MIDWEST),2/18/2025,22590627.97
USAID,"EDUCATION DEVELOPMENT CENTER, INC.",THE KEY OBJECTIVE OF THIS EDUCATION ACTIVITY IS TO IMPROVE THE READING...,3/1/2025,22579625.0
USAID,RTI INTERNATIONAL,"PRIMARY EDUCATION IN CRISIS ACTIVITY (PECA) TO BE NAMED ""STRENGTHENING...",3/1/2025,22499649.0
DEPARTMENT OF AGRICULTURE,Florida Department of Agriculture,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALL...,3/17/2025,22439038.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARKANSAS DEPARTMENT OF HEALTH,No description available,3/23/2025,22386319.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ID ST DEPT OF HEALTH & WELFARE,No description available,3/23/2025,22283604.0
DEPARTMENT OF EDUCATION,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,COMPREHENSIVE CENTERS PROGRAM: REGION 10 (WEST),2/18/2025,22246286.43
USAID,RTI INTERNATIONAL,LAC REGIONAL FUND TO EXPAND INCLUSIVE ACCESS TO QUALITY BASIC EDUCATIO...,3/1/2025,22198761.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SLOAN KETTERING INSTITUTE FOR CANCER RESEARCH,No description available,3/23/2025,22127008.0
USAID,CNFA,EFFECTIVE MANAGEMENT OF IRRIGATION WATER ACTIVITY,3/1/2025,22055179.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ARKANSAS DEPARTMENT OF HEALTH,No description available,3/23/2025,22045324.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/26/2025,21991709.0
DEPARTMENT OF STATE,CHURCH WORLD SERVICE INC,No description available,2/26/2025,21948878.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,21928930.0
DEPARTMENT OF STATE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,No description available,2/26/2025,21873120.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,21810862.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,21795517.0
USAID,"WORLD EDUCATION, INC.",IMPROVED LEARNING OUTCOMES IN PRIMARY EDUCATION (SABER) ACTIVITY,2/11/2025,21778613.0
DEPARTMENT OF STATE,INTERNATIONAL REPUBLICAN INSTITUTE,No description available,2/26/2025,21698540.65
USAID,MANAGEMENT SCIENCES FOR HEALTH,HLT: NEW ACTIVITY - LHS ACTIVITY,3/1/2025,21600000.0
USAID,PALLADIUM INTERNATIONAL LLC,THE PURPOSE OF PROPEL HEALTH (ROUND 1) IS TO IMPROVE THE ENABLING ENVI...,3/10/2025,21526466.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,CIVIL SOCIETY SUPPORT,3/1/2025,21497428.0
USAID,JHPIEGO CORP,THE PROVISION OF TARGETED TECHNICAL AND CAPACITY DEVELOPMENT ASSISTANC...,3/10/2025,21369837.0
DEPARTMENT OF STATE,"INTERNATIONAL RESCUE COMMITTEE, INC.",No description available,2/26/2025,21344886.0
USAID,BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,GENERATE RESEARCH-BASED EVIDENCE TO SUPPORT THE GROWTH OF VIBRANT IRRI...,3/1/2025,21332989.0
USAID,IPE GLOBAL LIMITED,TO ISSUE A NEW COOPERATIVE AGREEMENT TO THE SUCCESSFUL APPLICANT TO SU...,3/1/2025,21300000.0
USAID,ABT GLOBAL LLC,THE FEED THE FUTURE BANGLADESH NUTRITION ACTIVITY WILL IMPROVE NUTRITI...,3/1/2025,21278586.0
USAID,DAI GLOBAL LLC,SYSTEMS STRENGTHENING FOR ONE HEALTH ACTIVITY,3/10/2025,21230000.0
USAID,DEXIS INTERACTIVE LLC,"THE PROJECT WILL INCREASE THE SCALE, REACH, AND QUALITY OF PEOPLE-CENT...",3/1/2025,21100710.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,ILLINOIS DEPT OF HUMAN SERVICES,No description available,3/23/2025,20579808.0
USAID,ONG LA GRACE DIVINE ETERNELLE,THIS ACTIVITY IS ENTITLED SOUNGOUROU FARIMA AND IS ONE OF THE TWO DREA...,3/1/2025,20573730.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,20415308.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PUBLIC HEALTH AND HUMAN SERVICES, MONTANA DEPARTMENT OF",No description available,3/23/2025,20275367.0
DEPARTMENT OF STATE,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,No description available,2/26/2025,20240000.0
USAID,SOLIDARIDAD NORTH AMERICA,AMAZONIA CONNECT PURPOSE IS TO REDUCE COMMODITY-DRIVEN DEFORESTATION (...,3/1/2025,20235975.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,THE CSSM WILL STRENGTHEN LOCALLY ACCEPTED STATE PRESENCE IN PRIORITY A...,3/1/2025,20202970.29
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,"SINCE THE END OF AUGUST 2021, THERE ARE THOUSANDS OF HAITIANS ASSEMBLI...",3/10/2025,20200000.0
USAID,ENGENDER HEALTH INC,"THE PURPOSE OF THIS USAID/ETHIOPIA FIVE-YEAR ASSISTANCE ACTIVITY, ENTI...",3/10/2025,20128568.0
USAID,BAYLOR COLLEGE OF MEDICINE CHILDRENS FOUNDATION MALAWI,THE GOAL OF THE CORE ACTIVITY IS TO REDUCE NEW HIV INFECTIONS AND HIV ...,3/10/2025,20088528.0
USAID,POPULATION SERVICES INTERNATIONAL,THIS ACTIVITY AIMS TO DELIVER TRANSFORMATIONAL SOLUTIONS TO THE PERSIS...,3/10/2025,20000000.0
USAID,"INTERNATIONAL CENTRE FOR DIARRHOEAL DISEASE RESEARCH, BANGLADESH",THE PURPOSE OF THIS PROJECT IS TO IMPROVE THE TB CARE (E.G. PREVENTION...,3/10/2025,19978142.0
USAID,"COUNTERPART INTERNATIONAL, INC.",THE ACTIVITY WILL ADVANCE TWO MAIN OBJECTIVES: (1) ENHANCING GOVERNMEN...,3/1/2025,19800000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",No description available,3/23/2025,19652115.0
USAID,CARE,WOMEN IN DIGITAL ECONOMY FUND,3/1/2025,19466835.0
USAID,RESEARCH TRIANGLE INSTITUTE,NEW HIGHER EDUCATION ACTIVITY,3/1/2025,19461198.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Washington State Department of Health,No description available,3/23/2025,19432664.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UTAH DEPARTMENT OF HEALTH AND HUMAN SERVICES,No description available,3/23/2025,19338774.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",No description available,3/23/2025,19187986.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SD ST DEPARTMENT OF HEALTH,No description available,3/23/2025,19182231.0
DEPARTMENT OF STATE,UNFPA,No description available,2/26/2025,19100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST HEALTH CARE COST CONTAINMENT SYSTEM,No description available,3/23/2025,19043379.0
USAID,CRS - USCCB,"MARGINALIZED AND UNDERREPRESENTED YOUTH IN KINSHASA, MATADI, AND KALEM...",3/1/2025,19000000.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,THE PROGRAM SUPPORTS VICTIMS AND SURVIVORS OF CONFLICTS AND VIOLENCE I...,3/10/2025,19000000.0
DEPARTMENT OF AGRICULTURE,North Carolina Department of Agriculture & Consumer Services,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,18975620.89
USAID,PAN AMERICAN DEVELOPMENT FOUNDATION,DEMOCRACY PROGRAM,3/1/2025,18970831.0
USAID,EAST-WEST MANAGEMENT INSTITUTE INC,THIS ACTIVITY AIMS TO ADVANCE THE REALIZATION OF CIVIL AND POLITICAL H...,3/1/2025,18953628.0
USAID,UNITED STATES ENERGY ASSOCIATION INC,"TO SUPPORT UTILITIES, REGULATORY AGENCIES, AND ENERGY SECTOR STAKEHOLD...",2/6/2025,18948168.0
USAID,DAI GLOBAL LLC,THE OBJECTIVE OF THIS COOPERATIVE AGREEMENT IS TO SUPPORT THE RECIPIEN...,3/1/2025,18932000.0
USAID,LA CONFERENCE EPISCOPALE NATIONAL DU CAMEROUN,THE PROPOSED CONSOLIDATING SYSTEMS AND SERVICES FOR THE MANAGEMENT OF ...,3/10/2025,18867963.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF TEXAS, MEDICAL BRANCH AT GALVESTON",No description available,3/23/2025,18849015.0
USAID,Q2 IMPACT,PAPUA NEW GUINEA PEACE PROJECT,3/1/2025,18846330.0
USAID,HIV SA NPC,"CHILDREN, ADOLESCENTS, AND FAMILIES IN THE HIV EPIDEMIC IN THE NORTH W...",3/10/2025,18833265.0
USAID,BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER ED,No description available,3/1/2025,18818075.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,18793234.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MS ST DEPARTMENT OF HEALTH,No description available,3/23/2025,18735685.0
USAID,WORLD VISION INC.,IMPLEMENT A PROGRAM TO MEET THE FOLLOWING GOALS: -INCREASE LOCAL GOVE...,3/1/2025,18725000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,FL ST DEPARTMENT OF CHILDREN AND FAMILIES,No description available,3/23/2025,18667104.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,SOUTH CAROLINA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,18645531.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,OK ST DEPARTMENT OF HEALTH,No description available,3/23/2025,18629981.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, LOUISIANA DEPARTMENT OF",No description available,3/23/2025,18546207.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,No description available,3/23/2025,18518974.0
USAID,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,STRENGTHENING LANDSCAPE MANAGEMENT AND CONSERVATION IS A FIVE-YEAR ACT...,3/1/2025,18500000.0
USAID,"FONDO MEXICANO PARA LA CONSERVACION DE LA NATURALEZA, A.C.",THE PURPOSE OF THE KALAN ACTIVITY IS TO IMPROVE THE HABITAT AND POPULA...,3/1/2025,18500000.0
DEPARTMENT OF STATE,NATIONAL DEMOCRATIC INSTITUTE FOR INTERNATIONAL AFFAIRS,No description available,2/26/2025,18490807.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,18462926.0
USAID,ACDI/VOCA,THE PURPOSE OF THE INDIGENOUS PEOPLES AND AFRO-COLOMBIAN EMPOWERMENT A...,3/1/2025,18447853.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,EMORY UNIVERSITY,No description available,3/23/2025,18352822.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,RESEARCH TRIANGLE INSTITUTE,No description available,3/23/2025,18302229.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,GA Dept of Behavioral Health and DE,No description available,3/23/2025,18253398.0
USAID,RTI INTERNATIONAL,THE OBJECTIVE OF THE USAID/JAMAICA SUPPORTING VICTIMS OF VIOLENCE ACTI...,3/1/2025,18230819.0
USAID,"FREEDOM HOUSE, INC.",ADVANCING DEMOCRACY IN LAC,3/1/2025,18118599.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DIVISION OF CHILD AND FAMILY SERVICES,No description available,3/23/2025,18067537.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IA ST DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,18040894.0
DEPARTMENT OF AGRICULTURE,Michigan Department of Education,THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNME...,-,17999007.34
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Health Care Authority,No description available,3/23/2025,17977215.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE",THE CENTERS OF EXCELLENCE (COE) ACTIVITY IS TO SUPPORT EGYPT¿S ECONOMI...,3/1/2025,17916737.0
USAID,WASHINGTON STATE UNIVERSITY,THE FEED THE FUTURE INNOVATION LAB FOR VETERINARY VACCINE DELIVERY (VV...,3/1/2025,17900000.0
USAID,"JOHN SNOW, INCORPORATED",USAID STRENGTHENING HEALTHCARE ACCESS,3/1/2025,17900000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,17890087.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA Dept of Behavioral Health and Developmental Services,No description available,3/23/2025,17872204.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"HEALTH, MARYLAND DEPARTMENT OF",No description available,3/23/2025,17822940.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TN ST DEPT OF MNTL HLTH and Substance Abuse Services,No description available,3/23/2025,17723673.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,PIO GRANT WITH UNITED NATIONS OFFICE OF PROJECT SERVICES (UNOPS) TO PR...,3/1/2025,17713040.0
USAID,COMMUNITY PARTNERS INTERNATIONAL,"TB/HIV AGENCY, INFORMATION AND SERVICES",3/10/2025,17702731.0
USAID,ASSOCIACAO ELOS,THIS ACTIVITY IS FOR A 4-YEAR USAID MOZAMBIQUE AWARD OF $28 MILLION FO...,3/1/2025,17687997.0
USAID,JHPIEGO CORP,THE PURPOSE OF INTEGRATED SERVICE DELIVERY ACTIVITY (ISDA) IS TO ACCEL...,3/10/2025,17672444.0
DEPARTMENT OF LABOR,International Labor Organization,"THE PROJECT OBJECTIVE OF RESEARCH, INNOVATION, AND STRATEGIC ENGAGEMEN...",3/16/2025,17567400.0
USAID,"COUNTERPART INTERNATIONAL, INC.",IRAQ CIVIL SOCIETY ACTIVITY,3/1/2025,17497251.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,STRENGTHEN PROTECTIVE FACTORS TO VIOLENT EXTREMISM AND PROVIDE POSITIV...,3/1/2025,17458985.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",No description available,3/23/2025,17433048.0
USAID,PATH A WASHINGTON NONPROFIT CORP,STRENGTHENING VIETNAM’S CAPACITY AT THE SUBNATIONAL LEVELS TO EFFECTI...,3/1/2025,17430000.0
USAID,DAI GLOBAL LLC,THE PURPOSE OF USAID HOLISTIC ACTIONS FOR RESILIENCE OF THE ENVIRONMEN...,3/1/2025,17400000.0
USAID,FAMILY HEALTH INTERNATIONAL,THE PURPOSE OF THIS AWARD IS TO SUPPORT THE USAID/MALI EDUCATION TEAM ...,3/1/2025,17380500.0
USAID,RESEARCH TRIANGLE INSTITUTE,IGF::CL::IGF USAID/RENFORCEMENT DE LA LITTÉRATIE AU SENEGAL (RELIS). T...,2/11/2025,17318616.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF TEXAS, MEDICAL BRANCH AT GALVESTON",No description available,3/23/2025,17314794.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF OHIO - DEPARTMENT OF HEALTH,No description available,3/23/2025,17232818.0
USAID,CONSORTIUM FOR ELECTIONS & POLITICAL PROCESS STRENGTHENING,ETHIOPIA ELECTIONS AND POLITICAL PROCESSES ACTIVITY (EEPPA). AN ASSOCI...,2/11/2025,17165251.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Washington State Department of Health,No description available,3/23/2025,17144783.0
USAID,CENTER FOR INTERNATIONAL FORESTRY RESEARCH (CIFOR),THE PURPOSE OF THIS ACTIVITY IS TO ALLOW USAID TO CONTRIBUTE TO MULTI-...,3/1/2025,17012317.0
USAID,UNITED NATIONS OFFICE FOR PROJECT SERVICES,CONTRIBUTE TO A GLOBAL PARTNERSHIP TO IMPROVE ACCESS TO ASSISTIVE TECH...,3/1/2025,17000000.0
