Agency,Recipient,Description,Date,SAVED
DEPARTMENT OF AGRICULTURE,Department of Social Services California,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,47284232.0
USAID,JSI RESEARCH & TRAINING INSTITUTE INC,THE PURPOSE OF THIS ACTIVITY IS TO PARTNER WITH THE GOVERNMENT OF UGANDA TO SUPPORT AN EDUCATION SYSTEM THAT ENABLES ALL CHILDREN AND YOUTH TO ACQUIRE THE EDUCATION AND SKILLS NEEDED TO BE PRODUCTIVE MEMBERS OF SOCIETY AND PROMOTE STABILITY.,3/1/2025,47127354.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,Maine St. Department of Health and Human Services,No description available,3/23/2025,47011347.0
USAID,TRADEMARK AFRICA,"TO PROMOTE RESILIENT TRANSFORMATIVE TRADE AND INVESTMENT REFORMS IN THE EAST AFRICA REGION, ACCELERATING RECOVERY FROM THE NEGATIVE SOCIO-ECONOMIC IMPACTS OF THE COVID-19 PANDEMIC WHILST ADVANCING EAST AFRICA’S SELF-RELIANCE, SUSTAINABLE ECONOMIC GROWTH, COMPETITIVENESS AND ENVIRONMENTAL SUSTAINABILITY.",3/1/2025,46647345.0
DEPARTMENT OF STATE,BNDES,THE GOAL OF THE FUND IS TO SUPPORT PROJECTS THAT CONTRIBUTE TO A REDUCTION OF GREENHOUSE GAS EMISSIONS FROM DEFORESTATION AND FOREST DEGRADATION.,2/26/2025,46528000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,45794724.0
USAID,KUKUMBI - ORGANIZACAO DE DESENVOLVIMENTO RURAL,"FORTIFYING OVC SERVICES, EMPOWERING ADOLESCENTS, AND YOUTH, AND LEVERAGING AND INCORPORATING COMMUNITY FEEDBACK IN ZAMBEZIA (FELIZ) ACTIVITY",3/1/2025,45574251.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,MO ST DEPARTMENT OF HEALTH & SENIOR SERVICES,No description available,3/23/2025,45417796.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",No description available,3/23/2025,45257547.0
USAID,MANAGEMENT SCIENCES FOR HEALTH,"TO STRENGTHEN KEY ELEMENTS OF UGANDAN HEALTH SYSTEMS FOCUSING ON HEALTH CARE FINANCING , HUMAN RESOURCES FOR HEALTH , HEALTH MANAGEMENT INFORMATION SYSTEMS (HMIS) AND COMMUNITY HEALTH SYSTEMS.",3/10/2025,45102230.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,DEPARTMENT OF HEALTH NEW MEXICO,No description available,3/23/2025,45025662.0
DEPARTMENT OF STATE,GLOBAL REFUGE,No description available,2/26/2025,45006469.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,INTERNATIONAL FERTILITY RESEARCH PROGRAM,No description available,3/23/2025,44188335.0
USAID,"PACT, INC.","USAID UKRAINE’S PUBLIC HEALTH SYSTEM RECOVERY AND RESILIENCE ACTIVITY (PHS R&R) WILL STRENGTHEN THE GOVERNMENT OF UKRAINE’S (GOU) CAPACITY TO ADDRESS COVID-19 AND OTHER PUBLIC HEALTH THREATS, SUSTAIN HEALTH SERVICES DURING A CRISIS, AND PROTECT THE HEALTH OF ALL UKRAINIANS INCLUDING VULNERABLE AND MARGINALIZED POPULATIONS. PACT AND OUR CORE PARTNERS SWISS TROPICAL AND PUBLIC HEALTH INSTITUTE (SWISS TPH), SMALL BUSINESS OVERSEAS STRATEGIC CONSULTING, LTD. (OSC), AND UKRAINIAN EUROPEAN INSTITUTE ON PUBLIC HEALTH POLICY (EIPHP) PRESENT AN EXCEPTIONAL TEAM COMBINING GLOBAL, EUROPEAN, AND UKRAINIAN EXPERTISE IN PUBLIC HEALTH SYSTEM (PHS) STRENGTHENING, CAPACITY DEVELOPMENT (CD), AND COMMUNITY ENGAGEMENT TO STRENGTHEN UKRAINE’S RESILIENCE TO MULTIPLE HEALTH CHALLENGES WITHIN A COMPLEX AND DYNAMIC ENVIRONMENT. OUR TEAM OFFERS ESTABLISHED STRONG RELATIONSHIPS WITH ALL LEVELS OF UKRAINIAN GOVERNMENT, CIVIL SOCIETY ORGANIZATIONS (CSOS), COMMUNITIES, AND THE PRIVATE SECTOR, AS WELL AS EXTENSIVE IN-COUNTRY PROGRAMMING. COMPLEMENTING THIS TEAM IS A NETWORK OF GLOBAL AND LOCAL TECHNICAL ASSISTANCE (TA) PARTNERS THAT WILL PROVIDE TAILORED SOLUTIONS IN SPECIFIC AREAS.",3/1/2025,44100000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"UNIVERSITY OF CALIFORNIA-LOS ANGELES, BOARD OF REGENTS",No description available,3/23/2025,43904251.0
USAID,UNITED NATIONS DEVELOPMENT PROGRAMME,No description available,3/1/2025,43750000.0
DEPARTMENT OF STATE,UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,No description available,2/26/2025,43657781.0
USAID,MANAGEMENT SCIENCES FOR HEALTH,"BEBAS TB ACTIVITY WILL ASSIST THE GOVERNMENT OF INDONESIA (GOI) IN ADDRESSING THE TB EPIDEMIC AND ACHIEVING 2030 TB ELIMINATION TARGETS BY IMPROVING THE QUALITY OF TB CASE DETECTION, DIAGNOSIS, CARE, AND PREVENTION FOR ALL PEOPLE AFFECTED BY TB.",3/10/2025,43500000.0
US AGENCY FOR GLOBAL MEDIA,Open Technology Fund,PLANNINGANDOPERATIONSEXPENSESRELATEDTOINTERNATIONALBROADCASTINGINTHEMIDDLEEAST,3/15/2025,43500000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NY ST DEPT OF HEALTH,No description available,3/23/2025,43176251.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,43010120.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,VA ST DEPARTMENT OF HEALTH,No description available,3/23/2025,42755741.0
USAID,"AMERICAN UNIVERSITY IN CAIRO, THE","THE PURPOSE OF THE USAID EGYPTIAN PIONEERS ACTIVITY IS TO BUILD A MORE INCLUSIVE AND CAPABLE WORKFORCE THAT ELEVATES SECTORS CRITICAL TO EGYPT'S ECONOMIC GROWTH. THE ACTIVITY WILL ACHIEVE THIS PURPOSE THROUGH THE FOLLOWING THREE RESULTS: 1) GOE MINISTRIES AND OTHER GOVERNMENT INSTITUTIONS AT THE FOREFRONT OF EGYPT’S STRATEGIC DEVELOPMENT HAVE GREATER LEADERSHIP AND TECHNICAL CAPACITY TO DEVELOP AND IMPLEMENT POLICIES AND PRACTICES TO ADVANCE NATIONAL PRIORITIES; 2) EMERGING LEADERS IN NON-GOE ENTITIES MODERNIZE THEIR KNOWLEDGE, SKILLS, AND PRACTICE IN PRIORITY SECTORS TO TACKLE EGYPT’S EVOLVING PUBLIC AND PRIVATE SECTOR CHALLENGES AND ADVANCE EGYPT’S REGIONAL AND INTERNATIONAL COMPETITIVENESS; AND 3) YOUNG EGYPTIANS OF HIGH FINANCIAL NEED GAIN MARKET-RELEVANT KNOWLEDGE AND SKILLS IN FIELDS THAT SITUATE THEM TO EFFECTIVELY FUEL EGYPT’S LONG-TERM INCLUSIVE ECONOMIC GROWTH. USAID EGYPTIAN PIONEERS’ IMPLEMENTATION, PARTICULARLY IN TERMS OF TARGETED SECTORS AND DEGREE PROGRAMS, WILL BE GUIDED BY USG AND GOVERNMENT OF EGYPT (GOE) PRIORITIES, WITH A SPECIAL EMPHASIS ON SECTORS THAT DIRECTLY CONTRIBUTE TO EGYPT’S PUBLIC HEALTH AND CLIMATE CHANGE GOALS.",3/1/2025,42672775.0
USAID,PROJECT HOPE NAMIBIA,"ANA NDI ACHINYAMATA PATSOGOLO A NEW ORPHAN AND VULNERABLE CHILDREN ACTIVITY TO PREVENT NEW HIV INFECTIONS AND IMPROVE THE HEALTH, WELL-BEING, AND PROTECTION OF CHILDREN, ADOLESCENTS AND YOUNG WOMEN",3/10/2025,42588358.0
DEPARTMENT OF AGRICULTURE,Florida Department of Agriculture and Consumer Services,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,42583883.17
USAID,WINROCK INTERNATIONAL INSTITUTE FOR AGRICULTURAL DEVELOPMENT,USAID CLIMATE RESILIENT AGRICULTURE IN THE MEKONG DELTA,3/1/2025,42507888.0
USAID,UNICEF,No description available,3/1/2025,41704259.0
USAID,INTERNATIONAL ORGANIZATION FOR MIGRATION,"USAID/COLOMBIA RESTORING OUR FUTURE ACTIVITY AIMS TO ADVANCE RECONCILIATION AND PREVENT REPETITION OF THE CONFLICT BY PROTECTING VICTIMS RIGHTS; SUPPORTING COMPREHENSIVE MEMORY, TRUTH, AND JUSTICE; AND STRENGTHENING TRUST AND SOCIAL COHESION AMONG INDIVIDUALS, COMMUNITIES, AND PUBLIC AND PRIVATE SECTOR ACTORS.",3/1/2025,41458688.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,STATE OF GEORGIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,40743934.0
USAID,CARE,THE PURPOSE OF THIS COOPERATIVE AGREEMENT TO IMPLEMENT THE AFGHANISTAN INTEGRATED YOUTH ACTIVITY (AIYA) IN AFGHANISTAN.,2/11/2025,40710908.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NYS Office of Alcoholism and Substance Abuse Services,No description available,3/23/2025,40061246.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"NEW YORK, CITY OF",No description available,3/23/2025,39516923.0
DEPARTMENT OF AGRICULTURE,New York State Education Department,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE AND TERRITORY GOVERNMENTS TO PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOME STIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL BE DISTRIBUTED TO SCHOOLS AND CHILD CARE INSTITUTIONS PARTICIPATING IN THE NATIONAL SCHOOL LUNCH PROGRAM OR CHILD AND ADULT CARE FOOD PROGRAM. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), AND THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES). IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES AND TERRITORIES MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",-,38975533.51
USAID,ELIZABETH GLASER PEDIATRIC AIDS FOUNDATION,"THE GOAL OF THIS AWARD IS TO SUPPORT THE GOKL TO IMPROVE HEALTH OUTCOMES THROUGH THE DELIVERY OF HIGH-QUALITY INTEGRATED PEOPLE-CENTERED PREVENTION, CARE AND TREATMENT SERVICES THAT WILL PREVENT NEW CASES OF HIV AND TB AND SUSTAIN HIV AND TB EPIDEMIC CONTROL AND REDUCE MORBIDITY AND MORTALITY FROM COMMUNICABLE AND NON-COMMUNICABLE DISEASES, INCLUDING EMERGING PUBLIC HEALTH THREATS IN THE DISTRICTS OF MASERU, THABA TSEKA, MAFETENG, AND MOHALE’S HOEK.",3/10/2025,38891999.0
USAID,JHPIEGO CORP,"THE OBJECTIVE OF THIS PROGRAM IS TO SUPPORT A RECIPIENT, THROUGH FULL AND OPEN COMPETITION, SEEKING TO REDUCE MALARIA-RELATED MORBIDITY AND MORTALITY BY IMPROVING THE CAPACITY OF THE NATIONAL MALARIA CONTROL PROGRAM AND OTHER LOCAL ENTITIES TO LEAD THE PREVENTION, CONTROL, AND ELIMINATION OF MALARIA IN CAMEROON, UNDER AN ACTIVITY CALLED “SYSTEMS TO END THE MALARIA BURDEN THROUGH MEANINGFUL ENGAGEMENT - II (SEMBE II)”.",3/10/2025,38890668.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"CHICAGO, CITY OF",No description available,3/23/2025,38751896.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,IL ST DEPT OF PUBLIC HEALTH,No description available,3/23/2025,38629679.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,"LA ST DEPT OF HLTH & HOSPITALS, OFFICE OF PUBLIC HEALTH",No description available,3/23/2025,38419083.0
USAID,RESEARCH TRIANGLE INSTITUTE,QUALITY INSTRUCTION TOWARDS BASIC EDUCATION IMPROVEMENT AND ACCESS 3 ACTIVITY (QITABI 3),2/12/2025,38104378.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,37718688.0
USAID,THINK TUBERCULOSIS AND HIV INVESTIGATIVE NETWORK (RF) NPC,"TO ADVANCE SOUTH AFRICA’S EFFORTS TOWARD TIMELY ACHIEVEMENT OF TB ELIMINATION TARGETS, AS PER THE NATIONAL STRATEGIC PLAN AND WHO END TB STRATEGY.",3/1/2025,37153200.0
USAID,RTI INTERNATIONAL,GUINEA LOCAL HEALTH SYSTEMS STRENGTHENING (GLHSS) ACTIVITY WILL CONTRIBUTE TO SELF-RELIANCE AND SUSTAINABILITY BY BUILDING THE CAPACITY AND COMMITMENT OF COMMUNITY HEALTH COMMITTEES TO COLLABORATE PRODUCTIVELY WITH THEIR STRENGTHENED LOCAL PUBLIC HEALTH FACILITIES. ENGENDERING GREATER TRUST OF LOCAL COMMUNITIES IN THE PUBLIC HEALTH SYSTEM WOULD RESULT IN STRONGER PARTICIPATION IN THE MANAGEMENT AND GOVERNANCE OF THE HEALTH SECTOR. INCREASED CAPACITY AND COMMITMENT OF COMMUNITY MEMBERS AND HEALTH FACILITY STAFF WOULD SUSTAIN GLHSS GAINS BEYOND THE LIFE OF THE ACTIVITY.,3/10/2025,37118899.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,TX ST DEPARTMENT OF HEALTH,No description available,3/23/2025,36865961.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,AZ ST DEPARTMENT OF HEALTH SERVICES,No description available,3/23/2025,36797642.0
USAID,CARE,ACCELERATED EDUCATION ACTIVITY (AEA) FOR USAID SOMALIA,3/1/2025,36592575.0
USAID,SOUTH AFRICAN MEDICAL RESEARCH COUNCIL,"THE OBJECTIVE OF THE HIV-VISTA PROJECT IS TO SUPPORT SUB-SAHARAN AFRICAN SCIENTISTS, INSTITUTIONS, AND INNOVATIVE SYSTEMS OF COLLABORATION IN DESIGNING AND TESTING IMPROVED HIV VACCINE CANDIDATES THAT WILL ADVANCE THE FIELD TOWARD THE LONG-TERM GOAL OF A SAFE AND GLOBALLY EFFECTIVE HIV VACCINE.",3/1/2025,36565555.0
USAID,DT GLOBAL INC,MARKET BASED RESILIENCE FOR MARGINALIZED POPULATIONS (MB-RMP) ACTIVITY.,3/1/2025,36309035.0
USAID,RTI INTERNATIONAL,"WITH THIS ACTIVITY, USAID SEEKS TO ADVANCE NUTRITION MONITORING, EVALUATION, RESEARCH, RESEARCH TRANSLATION, AND LEARNING TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN. THE NEW ACTIVITY WILL FILL EVIDENCE GAPS TO IMPROVE NUTRITION OUTCOMES THROUGH HEALTH SYSTEMS WHILE ENSURING LOCAL PARTNERS DESIGN, IMPLEMENT, DISSEMINATE, AND USE SUCH EVIDENCE FOR POLICIES AND PROGRAMS.",3/1/2025,36180934.63
USAID,COOPERATIVE HOUSING FOUNDATION,"THE “IMPROVE LIVELIHOODS AND ENHANCE ECONOMIC DEVELOPMENT” (ILEED) ACTIVITY WILL FOCUS ON PROMOTING RESILIENT LIVELIHOODS IN GAZA AND GIVE HOUSEHOLDS THE TOOLS THEY NEED TO COPE WITH RECURRENT CRISES. THE ACTIVITY WILL BUILD UPON USAID INVESTMENTS AND SUCCESSES TO DATE, WITH A PRIMARY FOCUS ON BUILDING RESILIENCE THROUGH LIVELIHOODS WHILE MAINTAINING THE FLEXIBILITY AND CAPACITY TO RESPOND TO EMERGENCIES, SHOULD THEY ARISE.",3/10/2025,36000000.0
USAID,RTI INTERNATIONAL,USAID DISASTER RISK MANAGEMENT (DRM) ACTIVITY,3/1/2025,35842033.0
USAID,THE AURUM INSTITUTE NPC,ACCELERATE TB ELIMINATION AND PROGRAM RESILIENCE ACTIVITY-HIGH BURDEN AREAS (ACCELERATE 1),3/1/2025,35833200.0
USAID,JHPIEGO CORP,"THE PURPOSE OF THIS ACTIVITY IS TO IMPROVE THE QUALITY, ACCESSIBILITY, AFFORDABILITY, AND UTILIZATION OF HEALTHCARE SERVICES AND ENHANCE COMMUNITY INVOLVEMENT IN THREE HIGHLY URBANIZED DISTRICTS (KAMPALA CITY, MUKONO, AND WAKISO). IT WILL ALSO FOSTER AN ENABLING ENVIRONMENT FOR HEALTH SERVICE DELIVERY THROUGH STRATEGIC PARTNERSHIPS AND ADDRESSING SERVICE DELIVERY BOTTLENECKS IN THE PUBLIC AND PRIVATE HEALTH SECTORS. THIS ACTIVITY WILL CONTRIBUTE TO REDUCTION IN MATERNAL, NEWBORN, AND CHILD MORBIDITY/MORTALITY, UNMET NEED FOR FAMILY PLANNING (INCLUDING FOR ADOLESCENTS), MALNUTRITION, AND AN IMPROVED DISEASE OUTBREAK RESPONSE.",3/1/2025,35492024.0
DEPARTMENT OF AGRICULTURE,Texas Department of Agriculture,"THE PURPOSE OF THIS AGREEMENT IS TO ALLOW STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS TO EXPAND UPON PRIOR LOCAL FOOD PURCHASE ASSISTANCE PROGRAM WORK, AND TO PROVIDE AN OPPORTUNITY FOR STATE/TERRITORY AND FEDERALLY RECOGNIZED TRIBAL GOVERNMENTS WHO DID NOT PARTICIPATE IN THE LOCAL FOOD PURCHASE ASSISTANCE PROGRAM TO ESTABLISH PROJECTS THROUGH LFPA25. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS WILL PURCHASE LOCAL, UNPROCESSED OR MINIMALLY PROCESSED DOMESTIC FOODS FROM LOCAL PRODUCERS, TARGETING HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. FOOD PURCHASED WILL TARGET DISTRIBUTION TO UNDERSERVED COMMUNITIES. QUARTERLY PERFORMANCE REPORTS WILL BE SUBMITTED TO CAPTURE THE VALUE OF PURCHASES (INCLUDING THE VALUE OF PURCHASES FROM HISTORICALLY UNDERSERVED PRODUCERS AND THE VALUE OF PURCHASES FROM SMALL BUSINESSES), THE NUMBER OF PRODUCERS (INCLUDING THE NUMBER OF HISTORICALLY UNDERSERVED PRODUCERS AND THE NUMBER OF SMALL BUSINESSES), THE VALUE OF FOOD DISTRIBUTIONS TO DATE, AND THE NUMBER OF UNIQUE LOCATIONS DISTRIBUTING FOOD TO DATE. IN ADDITION TO INCREASING LOCAL FOOD CONSUMPTION, FUNDS ARE EXPECTED TO HELP BUILD AND EXPAND ECONOMIC OPPORTUNITY FOR LOCAL AND HISTORICALLY UNDERSERVED FARMERS/PRODUCERS/FISHERS AND SMALL BUSINESSES INCLUDING PROCESSORS, AGGREGATORS, AND DISTRIBUTORS. STATES, TERRITORIES, AND TRIBAL GOVERNMENTS MAY SUBAWARD WITH PARTNERS AND COLLABORATORS. PARTNERS AND COLLABORATORS MAY COME FROM PRIVATE OR PUBLIC, FOR-PROFIT, OR NONPROFIT ENTITIES.",3/17/2025,35278903.0
USAID,MERCY CORPS,USAID/ETHIOPIA HIGHLANDS RESILIENCE ACTIVITY,3/1/2025,34670087.0
USAID,FAMILY HEALTH INTERNATIONAL,PROVIDE SUPPORT TO ADDRESS THE PUBLIC PURPOSE OF IMPROVING NUTRITIONAL OUTCOMES TO IMPROVE THE NUTRITIONAL STATUS OF WOMEN AND CHILDREN THROUGH IMPROVING APPROPRIATE NUTRITIONAL PRACTICES AND UTILIZATION OF NUTRITION SERVICES IN THE COMMUNITIES THROUGH EVIDENCE-BASED AND THEORY-GROUNDED INTERVENTIONS.,3/10/2025,34499345.0
USAID,AMREF HEALTH AFRICA,"THE PURPOSE OF THE HEALTH FINANCING ACTIVITY (HFA) IS TO IMPROVE ACCESS TO EQUITABLE AND QUALITY HEALTH SERVICES AND PREVENT CATASTROPHIC HEALTH EXPENDITURE THROUGH INCREASED RESOURCES FOR HEALTH, EFFICIENT ALLOCATION AND UTILIZATION, AND ENHANCED FINANCIAL RISK PROTECTION IN ALIGNMENT WITH ETHIOPIA’S OVERALL AIM OF ACHIEVING UNIVERSAL HEALTH COVERAGE (UHC) THROUGH PRIMARY HEALTH CARE (PHC) BY 2035. HEALTH CARE FINANCING REFORM IN ETHIOPIA, INITIATED IN 1998, AIMED TO IMPROVE THE QUALITY AND EQUITY OF HEALTH SERVICES. THE STRATEGY FOCUSED ON INCREASING RESOURCES FOR HEALTH CARE, PROMOTING EFFICIENCY, AND ENSURING LONG-TERM SUSTAINABILITY THROUGH MULTIPLE FINANCING MECHANISMS. KEY INTERVENTIONS INCLUDED REVENUE RETENTION AT HEALTH FACILITIES, A FEE-WAIVER SYSTEM, STANDARDIZED EXEMPTION SERVICES, AND THE INTRODUCTION OF HEALTH INSURANCE SCHEMES. THESE REFORMS HAVE SIGNIFICANTLY IMPROVED HEALTH SERVICE DELIVERY AND FINANCIAL PROTECTION FOR CITIZENS. USAID’S INVESTMENTS IN HEALTHCARE FINANCING REFORM ARE LARGELY FOCUSED ON STRENGTHENING AND INSTITUTIONALIZING HEALTH CARE FINANCING (HCF) FUNCTIONS AND SYSTEMS TO SUPPORT UNIVERSAL HEALTH COVERAGE OF QUALITY PRIMARY HEALTH CARE (PHC) SERVICES FOR ETHIOPIAN CITIZENS WITH REDUCED FINANCIAL BARRIERS. THE HFA WILL BUILD UPON THE LESSONS DERIVED FROM PREVIOUS USAID ETHIOPIA HEALTH CARE FINANCING REFORM INITIATIVES, INCLUDING THE RECENT FIVE-YEAR HEALTH FINANCING IMPROVEMENT PROGRAM (HFIP). THE EXPECTED OUTCOMES WILL BE EVIDENCE-BASED AND OBJECTIVELY MEASURED THROUGH THE PROGRESS MADE IN THE COUNTRY'S CAPACITY TO ACHIEVE SUFFICIENT, EQUITABLE, SUSTAINABLE, AND EFFICIENT FINANCING FOR UNIVERSAL HEALTHCARE COVERAGE.",3/1/2025,34400000.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,NC ST DEPARTMENT OF HEALTH & HUMAN SERVICES,No description available,3/23/2025,34121561.0
DEPARTMENT OF HEALTH AND HUMAN SERVICES,PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,No description available,3/23/2025,33582699.0
USAID,KANSAS STATE UNIVERSITY,CRSI IL,3/1/2025,33400774.0
USAID,BRAC,"IN PARTNERSHIP WITH BRAC TO DELIVER BAMA, USAID WILL CONTINUE ITS SUPPORT OF BANGLADESH’S DEVELOPMENT ORGANIZATIONS AND SUPPORT LOCAL ORGANIZATIONS TO IMPLEMENT ACTIVITIES TO: STRENGTHEN DEMOCRACY FOR AN INCLUSIVE SOCIETY; FOSTER SUSTAINABLE ECONOMIC GROWTH; ADVANCE HUMAN CAPITAL DEVELOPMENT; AND STRENGTHEN RESILIENCE TO CLIMATE CHANGE AND OTHER SHOCKS.",3/1/2025,33332000.0
